Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,FRZ,PBF,SKJ,TUN,YFT
1960,USA,34.5,-119.5,0,0,0,0,0,0,0,0,0
1960,MEX,16.5,-101.5,0,0,0,0,0,0,0,0,68
1960,MEX,18.5,-104.5,0,0,0,0,0,0,0,0,24.5
1960,MEX,20.5,-106.5,0,0,0,0,0,0,0,0,0
1960,USA,-20.5,-70.5,0,0,0,0,0,0,3.46,0,107.93
1960,USA,-18.5,-71.5,0,0,0,0,0,0,84.3,0,7.3
1960,USA,-18.5,-70.5,0,0,0,0,0,0,41.8,0,0
1960,USA,-17.5,-71.5,0,0,0,0,0,0,4.5,0,149.7
1960,USA,-9.5,-79.5,0,0,0,31.8,0,0,0,0,0
1960,USA,-5.5,-81.5,0,0,0,57.3,0,0,0,0,0
1960,USA,-4.5,-81.5,0,0,0,0,0,0,14.5,0,1.8
1960,USA,-3.5,-81.5,0,0,0,0,0,0,105.2,0,55.4
1960,USA,-3.5,-80.5,0,0,0,0,0,0,30.8,0,0
1960,USA,8.5,-84.5,0,0,0,0,0,0,0,0,99.8
1960,USA,8.5,-83.5,0,0,0,0,0,0,0,0,181.6
1960,USA,9.5,-86.5,0,0,0,0,0,0,0,0,117.9
1960,USA,9.5,-85.5,0,0,0,0,0,0,0,0,103.4
1960,USA,9.5,-84.5,0,0,0,0,0,0,0,0,40.8
1960,USA,14.5,-97.5,0,0,0,0,0,0,0,0,32.6
1960,USA,14.5,-96.5,0,0,0,0,0,0,0,0,13.6
1960,USA,15.5,-101.5,0,0,0,0,0,0,0,0,4.5
1960,USA,15.5,-100.5,0,0,0,0,0,0,0,0,251.3
1960,USA,15.5,-99.5,0,0,0,0,0,0,0,0,276.7
1960,USA,15.5,-98.5,0,0,0,0,0,0,0,0,231.5
1960,USA,15.5,-97.5,0,0,0,0,0,0,0,0,904.4
1960,USA,15.5,-96.5,0,0,0,0,0,0,0,0,11.8
1960,USA,16.5,-102.5,0,0,0,0,0,0,0,0,18.1
1960,USA,16.5,-101.5,0,0,0,0,0,0,0,0,1132.1
1960,USA,16.5,-100.5,0,0,0,0,0,0,0,0,655.8
1960,USA,16.5,-99.5,0,0,0,0,0,0,0,0,671
1960,USA,16.5,-98.5,0,0,0,0,0,0,0,0,328.4
1960,USA,17.5,-103.5,0,0,0,0,0,0,0,0,27.2
1960,USA,17.5,-102.5,0,0,0,0,0,0,0,0,378.3
1960,USA,17.5,-101.5,0,0,0,0,0,0,0,0,1060.1
1960,USA,17.5,-100.5,0,0,0,0,0,0,0,0,49
1960,USA,18.5,-105.5,0,0,0,0,0,0,0,0,0
1960,USA,18.5,-104.5,0,0,0,0,0,0,0,0,69.9
1960,USA,18.5,-103.5,0,0,0,0,0,0,0,0,127.9
1960,USA,18.5,-102.5,0,0,0,0,0,0,0,0,0.9
1960,USA,19.5,-106.5,0,0,0,0,0,0,0,0,27.2
1960,USA,19.5,-105.5,0,0,0,0,0,0,0,0,31.8
1960,USA,19.5,-104.5,0,0,0,0,0,0,0,0,1.8
1960,USA,20.5,-106.5,0,0,0,0,0,0,0,0,32.7
1960,USA,20.5,-105.5,0,0,0,0,0,0,0,0,59
1960,USA,21.5,-107.5,0,0,0,0,0,0,0,0,93.4
