Year,Flag,Lat,Lon,BSH,CCL,FAL,MAK,OCS,RSK,SKH,SMA,SPN,THR
1981,KOR,-17.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-117.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-112.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-12.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-12.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-12.5,-127.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-12.5,-122.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-127.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-7.5,-112.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-2.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-2.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-2.5,-107.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,2.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,2.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,7.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,22.5,-107.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,32.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,32.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,32.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,32.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,TWN,-22.5,-122.5,0,0,0,0,0,0,0.89,0,0,0
