Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1978,USA,25.5,-113.5,0,0,0,0,0,8.023425,0,5.576574
1978,USA,25.5,-112.5,0,0,0,0,0,5.4,0,0.9
1978,USA,26.5,-115.5,0,0,0,0,0,29,0,44.1
1978,USA,26.5,-114.5,0,0,0,0,0,99.8145,0,78.1855
1978,USA,26.5,-113.5,0,0,0,0,0,19.60962,0,17.19038
1978,USA,26.5,-112.5,0,0,0,0,0,8.1,0,9
1978,USA,27.5,-115.5,0,0,0,0,0,6.8,0,10
1978,USA,28.5,-115.5,0,0,0,0,0,25.21924,0,1.580761
1978,USA,36.5,-122.5,1,0,0,0,0,0,0,0
1978,MEX,21.5,-112.5,0,0,0,0,0,15,0,9
1978,MEX,22.5,-112.5,0,0,0,0,0,5,0,3
1978,MEX,25.5,-114.5,0,0,0,0,0,3,0,0
1978,MEX,25.5,-113.5,0,0,0,0,0,5,0,3
1978,MEX,26.5,-114.5,0,0,0,0,0,2,0,0.5
1978,USA,16.5,-117.5,0,0,0,0,0,5.4,0,18.1
1978,USA,18.5,-114.5,0,0,0,0,0,0.9,0,14.5
1978,USA,19.5,-112.5,0,0,0,0,0,27.06609,0,22.73391
1978,USA,19.5,-110.5,0,0,0,0,0,0,0,5
1978,USA,21.5,-113.5,0,0,0,0,0,10.15228,0,7.947716
1978,USA,21.5,-112.5,0,0,0,0,0,52.22699,0,52.17301
1978,USA,21.5,-111.5,0,0,0,0,0,2,0,0
1978,USA,22.5,-112.5,0,0,0,0,0,39.8,0,39.8
1978,USA,24.5,-113.5,0,0,0,0,0,19.1,0,15.5
1978,USA,24.5,-110.5,0,0,0,0,0,25.4,0,7.3
1978,USA,25.5,-114.5,0,0,0,0,0,25.3,0,6.3
1978,USA,25.5,-112.5,0,0,0,0,0,0.5,0,0
1978,USA,26.5,-114.5,0,0,0,0,0,14.9,0,5.7
1978,USA,27.5,-114.5,0,0,0,0,0,0,0,0.2
1979,MEX,19.5,-112.5,0,0,0,0,0,7,0,1
1979,MEX,22.5,-110.5,0,0,0,0,0,0,0,44
1979,MEX,23.5,-110.5,0,0,0,0,0,0,0,9
1979,USA,10.5,-109.5,0,0,0,0,0,0,0,24
1979,USA,13.5,-109.5,0,0,0,0,0,7,0,0
1979,USA,16.5,-117.5,0,0,0,0,0,24.9,0,10.6
1979,USA,18.5,-114.5,0,0,0,0,0,0.9,0,14.1
1979,USA,19.5,-112.5,0,0,0,0,0,39.20103,0,5.198967
1979,USA,19.5,-105.5,0,0,0,0,0,0,0,6.4
1979,USA,20.5,-106.5,0,0,0,0,0,0,0,12.7
1979,USA,22.5,-110.5,0,0,0,0,0,0,0,282
1979,USA,22.5,-109.5,0,0,0,0,0,12.7,0,0
1979,USA,23.5,-111.5,0,0,0,0,0,0,0,2.7
1979,USA,23.5,-108.5,0,0,0,0,0,0.8010328,0,0.5989672
1979,USA,24.5,-113.5,0,0,0,0,0,1.8,0,0
