Year,Flag,Lat,Lon,BIL,BLM,BUM,MLS,SFA,SSP,SWO
1993,MEX,12.5,-94.5,0,0,0,0,0,0,0
1993,MEX,13.5,-110.5,0,0,0,0,0,0,0
1993,MEX,13.5,-109.5,0,0,0,0,0,0,0
1993,MEX,13.5,-108.5,0,0,0,0,0,0,0
1993,MEX,13.5,-107.5,0,0,0,0,0,0,0
1993,MEX,13.5,-106.5,0,0,0,4,0,0,0
1993,MEX,13.5,-105.5,0,0,0,0,0,0,0
1993,MEX,13.5,-104.5,0,0,0,0,0,0,0
1993,MEX,14.5,-106.5,0,0,0,0,0,0,0
1993,MEX,14.5,-101.5,0,0,0,0,0,0,0
1993,MEX,14.5,-98.5,0,0,0,0,0,0,0
1993,MEX,15.5,-111.5,0,0,0,0,0,0,0
1993,MEX,15.5,-109.5,0,0,0,0,0,0,0
1993,MEX,15.5,-106.5,0,0,0,0,0,0,0
1993,MEX,15.5,-98.5,0,0,0,0,0,0,0
1993,MEX,15.5,-97.5,0,0,0,0,0,0,0
1993,MEX,16.5,-112.5,0,0,0,0,0,0,0
1993,MEX,16.5,-111.5,0,0,0,0,0,0,0
1993,MEX,16.5,-110.5,0,0,0,0,0,0,0
1993,MEX,16.5,-109.5,0,0,0,0,0,0,0
1993,MEX,16.5,-100.5,0,0,0,0,0,0,0
1993,MEX,16.5,-98.5,0,0,0,0,0,0,0
1993,MEX,17.5,-110.5,0,0,0,2,0,0,0
1993,MEX,17.5,-109.5,0,0,0,0,0,0,0
1993,MEX,17.5,-101.5,0,0,0,0,0,0,0
1993,MEX,18.5,-110.5,0,0,0,0,0,0,0
1993,MEX,19.5,-110.5,0,0,0,0,0,0,0
1993,MEX,19.5,-109.5,0,0,0,0,0,0,0
1993,MEX,19.5,-108.5,0,0,0,0,0,0,0
1993,MEX,20.5,-109.5,0,0,0,0,0,0,0
1993,MEX,20.5,-106.5,0,0,1,0,2,0,0
1993,MEX,20.5,-105.5,1,0,1,0,4,0,0
1993,MEX,21.5,-109.5,0,0,0,0,0,0,0
1993,MEX,21.5,-108.5,0,0,0,0,0,0,0
1993,MEX,21.5,-107.5,0,0,0,0,0,0,0
1993,MEX,21.5,-106.5,0,0,0,0,35,0,0
1993,MEX,21.5,-105.5,0,0,0,0,0,0,0
1993,MEX,22.5,-107.5,0,0,0,0,0,0,0
1993,MEX,22.5,-106.5,1,0,0,0,9,0,0
1993,MEX,23.5,-111.5,0,0,0,0,0,0,0
1993,MEX,23.5,-107.5,0,0,0,0,0,0,0
1993,MEX,23.5,-106.5,0,0,0,0,0,0,0
1993,MEX,24.5,-112.5,0,0,0,0,0,0,0
1993,MEX,24.5,-109.5,0,0,0,0,0,0,0
1993,MEX,24.5,-108.5,0,0,0,0,0,0,0
1993,Other,-17.5,-82.5,0,0,0,0,0,0,0
1993,Other,-16.5,-79.5,0,0,0,1,0,0,0
1993,Other,-15.5,-81.5,0,0,0,0,0,0,0
1993,Other,-14.5,-82.5,0,3,0,4,0,0,0
1993,Other,-14.5,-81.5,0,0,0,1,0,0,0
1993,Other,-13.5,-83.5,0,0,0,0,0,0,0
1993,Other,-13.5,-82.5,0,0,0,0,0,0,0
1993,Other,-12.5,-82.5,0,0,0,0,0,0,0
1993,Other,-11.5,-84.5,0,0,0,0,0,0,0
1993,Other,-9.5,-83.5,0,1,0,0,0,0,0
1993,Other,-8.5,-85.5,0,0,0,0,0,0,0
1993,Other,-8.5,-84.5,0,0,0,0,0,0,0
1993,Other,-7.5,-87.5,0,0,0,0,0,0,0
1993,Other,-6.5,-84.5,0,1,0,0,0,0,0
1993,USA,-18.5,-79.5,0,0,0,0,0,0,0
1993,USA,-17.5,-79.5,0,0,0,0,0,0,0
1993,USA,-17.5,-78.5,0,0,0,0,0,0,0
1993,USA,-16.5,-82.5,0,0,0,0,0,0,0
1993,USA,-16.5,-81.5,0,0,0,0,0,0,0
1993,USA,-16.5,-80.5,0,0,0,0,0,0,0
1993,USA,-16.5,-79.5,0,0,0,0,0,0,0
1993,USA,-15.5,-82.5,0,0,0,0,0,0,0
1993,USA,-15.5,-81.5,0,0,0,0,0,0,0
1993,USA,-15.5,-80.5,0,0,0,0,0,0,0
1993,USA,-14.5,-83.5,0,0,1,0,0,0,0
1993,USA,-14.5,-82.5,0,0,1,0,0,0,0
1993,USA,-14.5,-81.5,0,0,0,0,0,0,0
1993,USA,-14.5,-80.5,0,0,0,0,0,0,0
1993,USA,-13.5,-83.5,2,0,0,0,0,0,0
1993,USA,-13.5,-82.5,0,0,0,0,0,0,0
1993,USA,-13.5,-81.5,1,0,0,0,0,0,0
1993,USA,-13.5,-80.5,0,1,0,0,0,0,0
1993,USA,-12.5,-83.5,0,0,0,0,0,0,0
1993,USA,-12.5,-82.5,1,0,0,0,0,0,0
1993,USA,-12.5,-81.5,0,0,0,0,0,0,0
1993,USA,-12.5,-80.5,0,0,0,0,0,0,0
1993,USA,-11.5,-84.5,0,0,0,0,0,0,0
1993,USA,-11.5,-83.5,0,0,0,0,0,0,0
1993,USA,-10.5,-82.5,1,0,0,0,0,0,0
1993,USA,-9.5,-86.5,0,0,0,0,0,0,0
1993,USA,-9.5,-85.5,0,0,0,0,0,0,0
1993,USA,-9.5,-84.5,2,0,0,0,0,0,0
1993,USA,-8.5,-81.5,0,0,0,0,0,0,0
1993,USA,-7.5,-81.5,0,0,0,0,0,0,0
1993,USA,4.5,-82.5,0,0,0,0,0,0,0
1993,USA,9.5,-85.5,0,0,0,0,0,0,0
1993,USA,9.5,-84.5,0,0,0,0,0,0,0
1993,VEN,-17.5,-78.5,4,0,0,0,0,0,0
1993,VEN,-16.5,-81.5,0,0,0,1,0,0,0
1993,VEN,-16.5,-80.5,0,0,0,3,0,0,0
1993,VEN,-16.5,-79.5,0,0,0,3,0,0,0
1993,VEN,-16.5,-78.5,0,0,0,0,0,0,0
1993,VEN,-15.5,-82.5,0,0,0,0,0,0,0
1993,VEN,-15.5,-81.5,0,0,0,0,0,0,0
1993,VEN,-15.5,-80.5,6,0,6,0,0,0,0
1993,VEN,-14.5,-83.5,0,0,2,0,0,0,0
1993,VEN,-14.5,-82.5,0,0,0,0,0,0,0
1993,VEN,-14.5,-81.5,0,0,0,0,0,0,0
1993,VEN,-13.5,-84.5,0,0,0,1,0,0,0
1993,VEN,-13.5,-83.5,0,0,0,0,0,0,0
1993,VEN,-13.5,-82.5,2,0,0,0,0,0,0
1993,VEN,-13.5,-80.5,0,0,1,0,0,0,0
1993,VEN,-12.5,-87.5,0,0,0,0,0,0,0
1993,VEN,-12.5,-81.5,0,0,0,0,0,0,0
1993,VEN,-11.5,-81.5,2,0,0,0,0,0,0
1993,VEN,-10.5,-84.5,0,0,0,0,0,0,0
1993,VEN,-9.5,-85.5,0,0,0,0,0,0,0
1993,VEN,-8.5,-84.5,0,0,0,0,0,0,0
1993,VEN,-8.5,-83.5,0,1,0,0,0,0,0
1993,VEN,-7.5,-86.5,0,1,0,0,0,0,0
1993,VEN,-7.5,-83.5,0,1,0,0,0,0,0
1993,VEN,1.5,-96.5,0,0,0,0,0,0,0
1993,VEN,1.5,-87.5,0,0,0,0,0,0,0
1993,VEN,2.5,-86.5,0,0,0,0,0,0,0
1993,VEN,3.5,-91.5,0,0,0,0,0,0,0
1993,VEN,3.5,-89.5,0,0,0,0,0,0,0
1993,VEN,4.5,-95.5,0,0,0,0,0,0,0
1993,VEN,4.5,-90.5,0,0,0,0,0,0,0
1993,VEN,4.5,-89.5,0,0,0,0,0,0,0
1993,VEN,5.5,-96.5,0,0,0,0,0,0,0
1993,VEN,5.5,-95.5,0,0,0,0,0,0,0
1993,VEN,5.5,-94.5,0,0,0,0,0,0,0
1993,VEN,5.5,-93.5,0,0,0,0,0,0,0
1993,VEN,5.5,-90.5,0,0,0,0,0,0,0
1993,VEN,5.5,-89.5,0,0,0,0,0,0,0
1993,VEN,5.5,-88.5,0,0,0,0,0,0,0
1993,VEN,5.5,-83.5,0,0,0,0,0,0,0
1993,VEN,6.5,-97.5,0,0,0,0,0,0,0
1993,VEN,6.5,-95.5,0,0,0,0,0,0,0
1993,VEN,6.5,-93.5,0,0,0,0,0,0,0
1993,VEN,6.5,-92.5,0,0,0,0,0,0,0
1993,VEN,6.5,-91.5,0,0,0,0,0,0,0
1993,VEN,6.5,-90.5,0,0,0,0,0,0,0
1993,VEN,6.5,-89.5,0,0,0,0,0,0,0
1993,VEN,6.5,-88.5,0,0,0,0,0,0,0
1993,VEN,6.5,-85.5,0,0,0,0,0,0,0
1993,VEN,7.5,-99.5,0,0,0,0,0,0,0
1993,VEN,7.5,-98.5,0,0,0,0,0,0,0
1993,VEN,7.5,-97.5,2,0,0,0,0,0,0
1993,VEN,7.5,-96.5,0,1,0,0,0,0,0
1993,VEN,7.5,-91.5,0,0,0,0,0,0,0
1993,VEN,7.5,-90.5,0,0,0,0,0,0,0
1993,VEN,7.5,-88.5,0,0,0,0,0,0,0
1993,VEN,8.5,-97.5,0,0,0,0,0,0,0
1993,VEN,8.5,-96.5,0,0,0,0,0,0,0
1993,VEN,8.5,-95.5,0,0,0,0,0,0,0
1993,VEN,8.5,-90.5,0,0,0,0,1,0,0
1993,VEN,9.5,-85.5,1,0,0,0,30,0,0
1993,VEN,9.5,-84.5,0,0,0,0,18,0,0
1993,VEN,11.5,-91.5,0,0,0,0,0,0,0
1993,VEN,11.5,-90.5,0,0,0,0,0,0,0
1993,VUT,-16.5,-83.5,0,0,0,0,0,0,0
