Country,Area,Year,Sector,Gear,SpeciesCode,Catch
AUSTRALIA,Eastern Indian Ocean,1994,ART,UNCL,SKH,6775
AUSTRALIA,Eastern Indian Ocean,1994,ART,UNCL,SKJ,46
AUSTRALIA,Eastern Indian Ocean,1994,ART,UNCL,TUN,17
AUSTRALIA,Eastern Indian Ocean,1995,IND,BB,ALB,3
AUSTRALIA,Eastern Indian Ocean,1995,IND,BB,SBF,1031
AUSTRALIA,Eastern Indian Ocean,1995,IND,BB,SKJ,465
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,ALB,24
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,BET,84
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,BUM,4
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,MLS,7
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,SBF,68
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,SKH,21
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,SKJ,1
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,SWO,62
AUSTRALIA,Eastern Indian Ocean,1995,IND,ELL,YFT,244
AUSTRALIA,Eastern Indian Ocean,1995,ART,GILL,TUN,1
