BigCellID,BigCellTypeID,x,y
790,1,-63.5,34.5
791,1,-63.5,35.5
792,1,-63.5,36.5
793,1,-63.5,37.5
794,1,-63.5,38.5
795,1,-63.5,39.5
796,1,-63.5,40.5
797,1,-63.5,41.5
798,1,-63.5,44.5
799,1,-63.5,46.5
800,1,-63.5,47.5
801,1,-62.5,-50.5
802,1,-62.5,-47.5
803,1,-62.5,-41.5
804,1,-62.5,10.5
805,1,-62.5,11.5
806,1,-62.5,12.5
807,1,-62.5,13.5
808,1,-62.5,14.5
809,1,-62.5,15.5
810,1,-62.5,16.5
811,1,-62.5,17.5
812,1,-62.5,18.5
813,1,-62.5,19.5
814,1,-62.5,20.5
815,1,-62.5,21.5
816,1,-62.5,22.5
817,1,-62.5,23.5
818,1,-62.5,24.5
819,1,-62.5,25.5
820,1,-62.5,26.5
821,1,-62.5,27.5
822,1,-62.5,28.5
823,1,-62.5,29.5
824,1,-62.5,30.5
825,1,-62.5,32.5
826,1,-62.5,33.5
827,1,-62.5,34.5
828,1,-62.5,35.5
829,1,-62.5,36.5
830,1,-62.5,37.5
831,1,-62.5,38.5
832,1,-62.5,39.5
833,1,-62.5,40.5
834,1,-62.5,42.5
835,1,-62.5,45.5
836,1,-62.5,46.5
837,1,-61.5,-41.5
838,1,-61.5,6.5
839,1,-61.5,9.5
840,1,-61.5,10.5
841,1,-61.5,11.5
842,1,-61.5,12.5
843,1,-61.5,13.5
844,1,-61.5,14.5
845,1,-61.5,15.5
846,1,-61.5,16.5
847,1,-61.5,17.5
848,1,-61.5,18.5
849,1,-61.5,19.5
850,1,-61.5,20.5
851,1,-61.5,21.5
852,1,-61.5,22.5
853,1,-61.5,23.5
854,1,-61.5,24.5
855,1,-61.5,25.5
856,1,-61.5,26.5
857,1,-61.5,27.5
858,1,-61.5,28.5
859,1,-61.5,29.5
860,1,-61.5,30.5
861,1,-61.5,31.5
862,1,-61.5,33.5
863,1,-61.5,34.5
864,1,-61.5,35.5
865,1,-61.5,36.5
866,1,-61.5,37.5
867,1,-61.5,38.5
868,1,-61.5,39.5
869,1,-61.5,40.5
870,1,-61.5,43.5
871,1,-61.5,45.5
872,1,-61.5,46.5
873,1,-60.5,-52.5
874,1,-60.5,-41.5
875,1,-60.5,6.5
876,1,-60.5,8.5
877,1,-60.5,9.5
878,1,-60.5,10.5
879,1,-60.5,11.5
880,1,-60.5,12.5
881,1,-60.5,13.5
882,1,-60.5,14.5
883,1,-60.5,15.5
884,1,-60.5,18.5
885,1,-60.5,19.5
886,1,-60.5,20.5
887,1,-60.5,21.5
888,1,-60.5,22.5
889,1,-60.5,23.5
890,1,-60.5,24.5
891,1,-60.5,25.5
892,1,-60.5,26.5
893,1,-60.5,27.5
894,1,-60.5,28.5
895,1,-60.5,29.5
896,1,-60.5,30.5
897,1,-60.5,31.5
898,1,-60.5,32.5
899,1,-60.5,33.5
900,1,-60.5,37.5
901,1,-60.5,38.5
902,1,-60.5,39.5
903,1,-60.5,40.5
904,1,-60.5,42.5
905,1,-60.5,43.5
906,1,-60.5,44.5
907,1,-60.5,45.5
908,1,-59.5,-52.5
909,1,-59.5,-42.5
910,1,-59.5,5.5
911,1,-59.5,8.5
912,1,-59.5,9.5
913,1,-59.5,10.5
914,1,-59.5,11.5
915,1,-59.5,12.5
916,1,-59.5,13.5
917,1,-59.5,14.5
918,1,-59.5,18.5
919,1,-59.5,19.5
920,1,-59.5,20.5
921,1,-59.5,21.5
922,1,-59.5,22.5
923,1,-59.5,23.5
924,1,-59.5,24.5
925,1,-59.5,25.5
926,1,-59.5,26.5
927,1,-59.5,27.5
928,1,-59.5,28.5
929,1,-59.5,29.5
930,1,-59.5,30.5
931,1,-59.5,31.5
932,1,-59.5,32.5
933,1,-59.5,33.5
934,1,-59.5,34.5
935,1,-59.5,35.5
936,1,-59.5,36.5
937,1,-59.5,39.5
938,1,-59.5,40.5
939,1,-59.5,42.5
940,1,-58.5,-52.5
941,1,-58.5,-41.5
942,1,-58.5,-39.5
943,1,-58.5,6.5
944,1,-58.5,7.5
945,1,-58.5,8.5
946,1,-58.5,9.5
